date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:04	35890/35890	---M--	200	added ('OK')	image/webp	etag:W/%228c32-1858725d47e%22	https://valtracker.gg/img/valtracker-wishlist.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/valtracker-wishlist.webp	(from https://valtracker.gg/features)
18:16:04	435582/435582	---M--	200	added ('OK')	image/webp	etag:W/%226a57e-18588435f19%22	https://valtracker.gg/img/valtracker-search.webp	C:/Meine%20Webseiten/dasga/valtracker.gg/img/valtracker-search.webp	(from https://valtracker.gg/features)
18:16:05	17707/17707	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202023%2018:15:26%20GMT	https://media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/27/largeicon.png	C:/Meine%20Webseiten/dasga/media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/27/largeicon.png	(from https://valtracker.gg/features)
18:16:05	30997/30997	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202023%2018:15:26%20GMT	https://media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/26/largeicon.png	C:/Meine%20Webseiten/dasga/media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/26/largeicon.png	(from https://valtracker.gg/features)
18:16:05	17104/17104	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202023%2018:15:25%20GMT	https://media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/23/largeicon.png	C:/Meine%20Webseiten/dasga/media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/23/largeicon.png	(from https://valtracker.gg/features)
18:16:06	18124/18124	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202023%2018:15:20%20GMT	https://media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/19/largeicon.png	C:/Meine%20Webseiten/dasga/media.valorant-api.com/competitivetiers/03621f52-342b-cf4e-4f86-9350a49c6d04/19/largeicon.png	(from https://valtracker.gg/features)
18:16:06	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:04%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/features)
18:16:06	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:05%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/features)
18:16:07	11150/11150	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b8e-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/133-3216ff18749e3d9b.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/133-3216ff18749e3d9b.js	(from https://valtracker.gg/docs)
18:16:07	3695/3695	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6f-1859bf8a3f0%22	https://valtracker.gg/_next/static/chunks/pages/docs-520e9fdbabb21be4.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs-520e9fdbabb21be4.js	(from https://valtracker.gg/docs)
18:16:07	41359/41359	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:06%20GMT	https://valtracker.gg/docs/riot	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/riot.html	(from https://valtracker.gg/docs)
18:16:07	53669/53669	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:06%20GMT	https://valtracker.gg/docs/bundles	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/bundles.html	(from https://valtracker.gg/docs)
18:16:07	35540/35540	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:06%20GMT	https://valtracker.gg/docs/versions	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/versions.html	(from https://valtracker.gg/docs)
18:16:08	44519/44519	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:06%20GMT	https://valtracker.gg/docs/changelogs	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/changelogs.html	(from https://valtracker.gg/docs)
18:16:08	34262/34262	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:06%20GMT	https://valtracker.gg/docs/messages	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/messages.html	(from https://valtracker.gg/docs)
18:16:08	46116/46116	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:07%20GMT	https://valtracker.gg/docs/status	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/status.html	(from https://valtracker.gg/docs)
18:16:08	46347/46347	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:07%20GMT	https://valtracker.gg/docs/website	C:/Meine%20Webseiten/dasga/valtracker.gg/docs/website.html	(from https://valtracker.gg/docs)
18:16:08	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:07%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs)
18:16:09	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:07%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs)
18:16:09	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:08%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs)
18:16:10	12355/12355	---MCZ	200	added ('OK')	application/javascript	etag:W/%223043-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/blog-41a38b1a1d61b7c8.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/blog-41a38b1a1d61b7c8.js	(from https://valtracker.gg/blog)
18:16:10	27958/27958	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:08%20GMT	https://valtracker.gg/blog?filter=byTag&tag=API	C:/Meine%20Webseiten/dasga/valtracker.gg/blog9472.html	(from https://valtracker.gg/blog)
18:16:10	28503/28503	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:08%20GMT	https://valtracker.gg/blog/valtracker-api-major-release-v1	C:/Meine%20Webseiten/dasga/valtracker.gg/blog/valtracker-api-major-release-v1.html	(from https://valtracker.gg/blog)
18:16:10	27920/27920	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:09%20GMT	https://valtracker.gg/blog?filter=byTag&tag=Information	C:/Meine%20Webseiten/dasga/valtracker.gg/blogfe41.html	(from https://valtracker.gg/blog)
18:16:10	26739/26739	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2017:16:09%20GMT	https://valtracker.gg/blog/welcome-to-the-valtracker-blog	C:/Meine%20Webseiten/dasga/valtracker.gg/blog/welcome-to-the-valtracker-blog.html	(from https://valtracker.gg/blog)
18:16:10	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:09%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/blog)
18:16:11	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:09%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/blog)
18:16:11	7039/7039	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7f-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/privacy-8128ed8f503d3ca8.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/privacy-8128ed8f503d3ca8.js	(from https://valtracker.gg/privacy)
18:16:11	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:10%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/privacy)
18:16:11	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:10%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/privacy)
18:16:12	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:10%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/privacy)
18:16:12	2086/2086	---MCZ	200	added ('OK')	application/javascript	etag:W/%22826-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/docs/about-192192971dcada29.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/about-192192971dcada29.js	(from https://valtracker.gg/docs/about)
18:16:12	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:11%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/about)
18:16:12	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:11%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/about)
18:16:13	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:11%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/about)
18:16:13	28298/28298	---MCZ	200	added ('OK')	application/javascript	etag:W/%226e8a-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/536-065cc30558efb840.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/536-065cc30558efb840.js	(from https://valtracker.gg/docs/riot)
18:16:13	26590/26590	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267de-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/220-f3c7b7f18386e80b.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/220-f3c7b7f18386e80b.js	(from https://valtracker.gg/docs/riot)
18:16:13	9261/9261	---MCZ	200	added ('OK')	application/javascript	etag:W/%22242d-1859bf8a3f8%22	https://valtracker.gg/_next/static/chunks/778-4c1de3f7033ec45c.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/778-4c1de3f7033ec45c.js	(from https://valtracker.gg/docs/riot)
18:16:14	1245/1245	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd-1859bf8a3f0%22	https://valtracker.gg/_next/static/chunks/pages/docs/riot-ae528a519c59dc36.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/riot-ae528a519c59dc36.js	(from https://valtracker.gg/docs/riot)
18:16:14	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:13%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/riot)
18:16:14	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:13%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/riot)
18:16:15	2408/2408	---MCZ	200	added ('OK')	application/javascript	etag:W/%22968-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/docs/bundles-b8d795aaf916799c.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/bundles-b8d795aaf916799c.js	(from https://valtracker.gg/docs/bundles)
18:16:15	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:13%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/bundles)
18:16:15	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:14%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/bundles)
18:16:16	1146/1146	---MCZ	200	added ('OK')	application/javascript	etag:W/%2247a-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/docs/versions-d40c4f3d41510269.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/versions-d40c4f3d41510269.js	(from https://valtracker.gg/docs/versions)
18:16:16	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:14%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/versions)
18:16:16	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:15%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/versions)
18:16:16	1752/1752	---MCZ	200	added ('OK')	application/javascript	etag:W/%226d8-1859bf8a3f4%22	https://valtracker.gg/_next/static/chunks/pages/docs/changelogs-99820b4f53e793d1.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/changelogs-99820b4f53e793d1.js	(from https://valtracker.gg/docs/changelogs)
18:16:16	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:15%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/changelogs)
18:16:17	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:15%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/changelogs)
18:16:17	3171/3171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c63-1859bf8a3f0%22	https://valtracker.gg/_next/static/chunks/pages/docs/messages-07e0381de55b1a64.js	C:/Meine%20Webseiten/dasga/valtracker.gg/_next/static/chunks/pages/docs/messages-07e0381de55b1a64.js	(from https://valtracker.gg/docs/messages)
18:16:17	29/29	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2027%20Jan%202023%2017:16:16%20GMT	https://valtracker.gg/discord	C:/Meine%20Webseiten/dasga/valtracker.gg/discord	(from https://valtracker.gg/docs/messages)
